sala;pagina;1a;1b;1c;1d;1e;1f;1g;2a;2b;2c;2d;2e;2f;3a;3b;3c;4a;4b;4c;4d;4e;4f;6a;6b
sala_01;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
sala_01;2;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1
sala_01;3;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;0
sala_01;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1
sala_01;5;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0
sala_01;6;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1
sala_01;7;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1
sala_01;8;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1
sala_01;9;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;1
sala_01;10;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1
sala_01;11;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_01;12;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1
sala_01;13;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1
sala_01;14;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_01;15;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_01;16;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_01;17;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
sala_01;18;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1
sala_01;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
sala_01;20;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
sala_01;21;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_01;22;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0
sala_01;23;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
sala_01;24;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1
sala_01;25;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1
sala_02;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1
sala_02;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
sala_02;3;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
sala_02;4;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1
sala_02;5;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1
sala_02;6;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_02;7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
sala_02;8;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
sala_02;9;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_02;10;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1
sala_02;11;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
sala_02;12;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
sala_02;13;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1
sala_02;14;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0
sala_02;15;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0
sala_02;16;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0
sala_02;17;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0
sala_02;18;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0
sala_02;19;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0
sala_03;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
sala_03;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
sala_03;3;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
sala_03;4;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1
sala_03;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
sala_03;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_03;7;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
sala_03;8;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
sala_03;9;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0
sala_03;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
sala_03;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sala_03;12;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0
sala_03;13;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0
sala_03;14;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0
sala_03;15;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0
sala_03;16;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0
sala_03;17;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0
sala_03;18;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
sala_03;19;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
sala_04;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0
