sala,pagina,alternativa,marcada,pixels_escuros
,1,1a,0,41
,1,1b,1,792
,1,1c,0,22
,1,1d,0,0
,1,1e,1,228
,1,1f,0,130
,2,1a,0,35
,2,1b,0,2
,2,1c,0,14
,2,1d,1,973
,2,1e,1,221
,2,1f,0,127
,3,1a,1,610
,3,1b,1,1034
,3,1c,1,1668
,3,1d,0,0
,3,1e,1,231
,3,1f,0,127
,4,1a,1,593
,4,1b,0,2
,4,1c,0,23
,4,1d,0,0
,4,1e,1,228
,4,1f,0,118
,5,1a,0,34
,5,1b,0,1
,5,1c,0,11
,5,1d,1,695
,5,1e,1,216
,5,1f,0,120
,6,1a,0,38
,6,1b,0,0
,6,1c,0,19
,6,1d,1,1098
,6,1e,1,231
,6,1f,0,128
,7,1a,0,34
,7,1b,1,625
,7,1c,1,721
,7,1d,1,906
,7,1e,1,228
,7,1f,0,129
,8,1a,0,29
,8,1b,0,0
,8,1c,0,6
,8,1d,0,155
,8,1e,1,288
,8,1f,0,124
,9,1a,0,37
,9,1b,0,2
,9,1c,0,17
,9,1d,0,0
,9,1e,1,239
,9,1f,0,142
,10,1a,0,41
,10,1b,1,595
,10,1c,0,19
,10,1d,0,1
,10,1e,1,231
,10,1f,0,143
