sala,pagina,alternativa,marcada,pixels_escuros
,1,1a,0,41
,1,1b,1,794
,1,1c,0,22
,1,1d,0,0
,1,1e,1,228
,1,1f,0,130
,2,1a,0,77
,2,1b,1,225
,2,1c,1,210
,2,1d,1,930
,2,1e,0,160
,2,1f,0,142
,3,1a,1,262
,3,1b,1,1190
,3,1c,1,1449
,3,1d,1,270
,3,1e,0,166
,3,1f,0,184
,4,1a,1,538
,4,1b,1,292
,4,1c,1,219
,4,1d,1,290
,4,1e,0,10
,4,1f,0,63
,5,1a,0,117
,5,1b,0,29
,5,1c,0,186
,5,1d,1,824
,5,1e,0,184
,5,1f,0,196
,6,1a,0,30
,6,1b,0,1
,6,1c,0,26
,6,1d,1,947
,6,1e,0,160
,6,1f,0,84
,7,1a,0,103
,7,1b,1,883
,7,1c,1,606
,7,1d,1,1000
,7,1e,0,148
,7,1f,0,148
,8,1a,0,6
,8,1b,0,13
,8,1c,0,6
,8,1d,0,148
,8,1e,0,151
,8,1f,0,80
,9,1a,0,50
,9,1b,0,157
,9,1c,0,31
,9,1d,0,76
,9,1e,0,49
,9,1f,0,7
,10,1a,0,0
,10,1b,1,448
,10,1c,1,336
,10,1d,1,270
,10,1e,1,217
,10,1f,1,228
